iter	Passed	Remaining
0	1	116
1	2	105
2	3	103
3	3	94
4	4	92
5	5	90
6	6	89
7	7	88
8	8	87
9	9	86
10	10	84
11	11	83
12	12	81
13	13	80
14	13	79
15	14	77
16	15	76
17	16	75
18	17	73
19	18	73
20	19	71
21	20	71
22	20	70
23	21	68
24	22	68
25	23	67
26	24	65
27	25	64
28	26	63
29	26	62
30	27	61
31	28	60
32	29	59
33	30	58
34	31	58
35	32	57
36	32	56
37	33	55
38	34	54
39	35	53
40	36	52
41	36	50
42	37	49
43	38	48
44	39	47
45	40	46
46	40	46
47	41	45
48	42	44
49	43	43
50	44	42
51	45	41
52	46	40
53	46	39
54	47	38
55	48	37
56	49	37
57	49	36
58	50	35
59	51	34
60	52	33
61	53	32
62	54	31
63	55	31
64	56	30
65	57	29
66	57	28
67	58	27
68	59	26
69	60	25
70	61	25
71	62	24
72	63	23
73	64	22
74	64	21
75	65	20
76	66	19
77	67	19
78	68	18
79	69	17
80	70	16
81	71	15
82	72	14
83	73	13
84	74	13
85	75	12
86	75	11
87	76	10
88	77	9
89	78	8
90	79	7
91	80	6
92	81	6
93	82	5
94	83	4
95	83	3
96	84	2
97	85	1
98	86	0
99	87	0
